site,time,unit,value
Milford Haven Grid,2025-11-12T08:15:00+00:00,MW,-0.1740000000000066
Milford Haven Grid,2025-11-12T08:20:00+00:00,MW,-0.1159999999999961
Milford Haven Grid,2025-11-12T08:25:00+00:00,MW,-0.20399999999999707
Milford Haven Grid,2025-11-12T08:30:00+00:00,MW,-0.25400000000000134
Milford Haven Grid,2025-11-12T08:35:00+00:00,MW,-0.24200000000000088
Milford Haven Grid,2025-11-12T08:40:00+00:00,MW,-0.23600000000000065
Milford Haven Grid,2025-11-12T08:45:00+00:00,MW,-0.33599999999999497
Milford Haven Grid,2025-11-12T08:50:00+00:00,MW,-0.22099999999999298
Milford Haven Grid,2025-11-12T08:55:00+00:00,MW,-0.06500000000000483
Milford Haven Grid,2025-11-12T09:00:00+00:00,MW,-0.28800000000000736
Milford Haven Grid,2025-11-12T09:05:00+00:00,MW,-1.0059999999999967
Milford Haven Grid,2025-11-12T09:10:00+00:00,MW,-0.963000000000001
Milford Haven Grid,2025-11-12T09:15:00+00:00,MW,-0.9190000000000005
Milford Haven Grid,2025-11-12T09:20:00+00:00,MW,-1.0350000000000001
Milford Haven Grid,2025-11-12T09:25:00+00:00,MW,-0.9519999999999982
Milford Haven Grid,2025-11-12T09:30:00+00:00,MW,-1.0850000000000044
Milford Haven Grid,2025-11-12T09:35:00+00:00,MW,-1.0390000000000015
Milford Haven Grid,2025-11-12T09:40:00+00:00,MW,-0.9699999999999953
Milford Haven Grid,2025-11-12T09:45:00+00:00,MW,-1.0209999999999937
Milford Haven Grid,2025-11-12T09:50:00+00:00,MW,-1.0470000000000041
Milford Haven Grid,2025-11-12T09:55:00+00:00,MW,-1.0100000000000016
Milford Haven Grid,2025-11-12T10:00:00+00:00,MW,-1.0679999999999943
Milford Haven Grid,2025-11-12T10:05:00+00:00,MW,-1.166999999999998
Milford Haven Grid,2025-11-12T10:10:00+00:00,MW,-0.9700000000000024
Milford Haven Grid,2025-11-12T10:15:00+00:00,MW,-0.9300000000000033
Milford Haven Grid,2025-11-12T10:20:00+00:00,MW,-1.0319999999999965
Milford Haven Grid,2025-11-12T10:25:00+00:00,MW,-0.9139999999999944
Milford Haven Grid,2025-11-12T10:30:00+00:00,MW,-0.9059999999999953
Milford Haven Grid,2025-11-12T10:35:00+00:00,MW,-0.9460000000000015
Milford Haven Grid,2025-11-12T10:40:00+00:00,MW,-1.0449999999999982
Milford Haven Grid,2025-11-12T10:45:00+00:00,MW,-0.7759999999999998
Milford Haven Grid,2025-11-12T10:50:00+00:00,MW,-0.8239999999999945
Milford Haven Grid,2025-11-12T10:55:00+00:00,MW,-0.512999999999991
Milford Haven Grid,2025-11-12T11:00:00+00:00,MW,-0.3230000000000004
Milford Haven Grid,2025-11-12T11:05:00+00:00,MW,-0.11700000000000088
Milford Haven Grid,2025-11-12T11:10:00+00:00,MW,-0.12400000000000233
